127.0.0.1 - - [18/Jun/2025 08:14:32] "HEAD / HTTP/1.1" 200 -
10.2.46.10 - - [18/Jun/2025 08:14:38] "GET / HTTP/1.1" 200 -
10.2.46.10 - - [18/Jun/2025 08:14:38] "GET /script.js HTTP/1.1" 200 -
10.2.46.10 - - [18/Jun/2025 08:14:38] "GET /style.css HTTP/1.1" 200 -
10.2.38.10 - - [18/Jun/2025 08:16:09] "GET / HTTP/1.1" 200 -
10.2.60.141 - - [18/Jun/2025 08:16:15] "GET / HTTP/1.1" 200 -
10.2.60.141 - - [18/Jun/2025 08:16:16] "GET /style.css HTTP/1.1" 200 -
10.2.60.141 - - [18/Jun/2025 08:16:16] "GET /script.js HTTP/1.1" 200 -
10.2.97.11 - - [18/Jun/2025 08:18:16] "GET / HTTP/1.1" 304 -
10.2.97.11 - - [18/Jun/2025 08:18:17] "GET /script.js HTTP/1.1" 200 -
10.2.97.11 - - [18/Jun/2025 08:18:17] "GET /style.css HTTP/1.1" 304 -
10.2.96.12 - - [18/Jun/2025 08:18:59] "GET / HTTP/1.1" 304 -
10.2.96.12 - - [18/Jun/2025 08:19:50] "GET / HTTP/1.1" 304 -
10.2.60.141 - - [18/Jun/2025 08:23:47] "GET / HTTP/1.1" 304 -
10.2.60.141 - - [18/Jun/2025 08:23:48] "GET /script.js HTTP/1.1" 200 -
10.2.60.141 - - [18/Jun/2025 08:23:48] "GET /style.css HTTP/1.1" 304 -
10.2.60.141 - - [18/Jun/2025 08:23:50] code 404, message File not found
10.2.60.141 - - [18/Jun/2025 08:23:50] "GET /favicon.ico HTTP/1.1" 404 -
10.2.60.141 - - [18/Jun/2025 08:23:52] "GET / HTTP/1.1" 304 -
10.2.60.141 - - [18/Jun/2025 08:24:29] code 404, message File not found
10.2.60.141 - - [18/Jun/2025 08:24:29] "GET /favicon.ico HTTP/1.1" 404 -
10.2.97.11 - - [18/Jun/2025 08:27:39] "GET / HTTP/1.1" 304 -
10.2.46.10 - - [18/Jun/2025 08:29:39] "GET / HTTP/1.1" 304 -
10.2.97.11 - - [18/Jun/2025 08:29:45] "GET / HTTP/1.1" 304 -
10.2.97.11 - - [18/Jun/2025 08:29:45] "GET /script.js HTTP/1.1" 200 -
10.2.97.11 - - [18/Jun/2025 08:29:45] "GET /style.css HTTP/1.1" 304 -
10.2.96.12 - - [18/Jun/2025 08:49:14] "GET / HTTP/1.1" 304 -
10.2.97.11 - - [18/Jun/2025 08:49:30] "GET /style.css HTTP/1.1" 304 -
10.2.97.11 - - [18/Jun/2025 08:49:30] "GET /script.js HTTP/1.1" 200 -
